Twitter Inc              ,TWTR ,12.88
Tesla Inc                ,TSLA ,12.17
Apple Inc                ,AAPL ,9.99
Facebook Inc             ,FB   ,9.82
Alphabet Inc             ,GOOGL,9.74
Alibaba Group Holding Ltd,BABA ,9.55
Netflix Inc              ,NFLX ,9.18
Amazon.com Inc           ,AMZN ,9.15
Baidu Inc                ,BIDU ,8.97
NVIDIA Corp              ,NVDA ,8.55
