Morgan Stanley                  ,MS  ,10.45
Goldman Sachs Group Inc         ,GS  ,10.34
Citigroup Inc                   ,C   ,10.22
JPMorgan Chase & Co             ,JPM ,10.15
Bank of America Corp            ,BAC ,10.03
PNC Financial Services Group Inc,PNC ,10.02
Charles Schwab Corp             ,SCHW,9.84
U.S. Bancorp                    ,USB ,9.63
Wells Fargo & Co                ,WFC ,9.52
Truist Financial Corp           ,TFC ,9.71
