Alibaba Group Holding Ltd ADR,BABA ,10
Alphabet Inc A               ,GOOGL,10
Amazon.com Inc               ,AMZN ,10
Apple Inc                    ,AAPL ,10
Baidu Inc ADR                ,BIDU ,10
Facebook Inc                 ,META ,10
Netflix Inc                  ,NFLX ,10
NVIDIA                       ,NVDA ,10
TESLA                        ,TSLA ,10
TWITTER                      ,TWTR ,10
