Alibaba Group Holding Ltd ADR,BABA ,9.55
Alphabet Inc A               ,GOOGL,9.74
Amazon.com Inc               ,AMZN ,9.15
Apple Inc                    ,AAPL ,9.99
Baidu Inc ADR                ,BIDU ,8.97
Facebook Inc                 ,META ,9.82
Netflix Inc                  ,NFLX ,9.18
NVIDIA                       ,NVDA ,8.55
TESLA                        ,TSLA ,12.17
TWITTER                      ,TWTR ,12.88
